U+FE45 ﹅
U+FE46 ﹆
U+FE47 ﹇
U+FE48 ﹈
U+FF02 ＂
U+FF03 ＃
U+FF04 ＄
U+FF05 ％
U+FF06 ＆
U+FF07 ＇
U+FF0A ＊
U+FF0B ＋
U+FF0C ，
U+FF0D －
U+FF0E ．
U+FF0F ／
U+FF1B ；
U+FF1C ＜
U+FF1E ＞
U+FF20 ＠
U+FF21 Ａ
U+FF22 Ｂ
U+FF23 Ｃ
U+FF24 Ｄ
U+FF25 Ｅ
U+FF26 Ｆ
U+FF27 Ｇ
U+FF28 Ｈ
U+FF29 Ｉ
U+FF2A Ｊ
U+FF2B Ｋ
U+FF2C Ｌ
U+FF2D Ｍ
U+FF2E Ｎ
U+FF2F Ｏ
U+FF30 Ｐ
U+FF31 Ｑ
U+FF32 Ｒ
U+FF33 Ｓ
U+FF34 Ｔ
U+FF35 Ｕ
U+FF36 Ｖ
U+FF37 Ｗ
U+FF38 Ｘ
U+FF39 Ｙ
U+FF3A Ｚ
U+FF3B ［
U+FF3C ＼
U+FF3D ］
U+FF3E ＾
U+FF3F ＿
U+FF40 ｀
U+FF41 ａ
U+FF42 ｂ
U+FF43 ｃ
U+FF44 ｄ
U+FF45 ｅ
U+FF46 ｆ
U+FF47 ｇ
U+FF48 ｈ
U+FF49 ｉ
U+FF4A ｊ
U+FF4B ｋ
U+FF4C ｌ
U+FF4D ｍ
U+FF4E ｎ
U+FF4F ｏ
U+FF50 ｐ
U+FF51 ｑ
U+FF52 ｒ
U+FF53 ｓ
U+FF54 ｔ
U+FF55 ｕ
U+FF56 ｖ
U+FF57 ｗ
U+FF58 ｘ
U+FF59 ｙ
U+FF5A ｚ
U+FF5B ｛
U+FF5C ｜
U+FF5D ｝
U+FF5E ～
U+FF5F ｟
U+FF60 ｠
U+FF61 ｡
U+FF62 ｢
U+FF63 ｣
U+FF64 ､
U+FF65 ･
U+FF66 ｦ
U+FF67 ｧ
U+FF68 ｨ
U+FF69 ｩ
U+FF6A ｪ
U+FF6B ｫ
U+FF6C ｬ
U+FF6D ｭ
U+FF6E ｮ
U+FF6F ｯ
U+FF70 ｰ
U+FF71 ｱ
U+FF72 ｲ
U+FF73 ｳ
U+FF74 ｴ
U+FF75 ｵ
U+FF76 ｶ
U+FF77 ｷ
U+FF78 ｸ
U+FF79 ｹ
U+FF7A ｺ
U+FF7B ｻ
U+FF7C ｼ
U+FF7D ｽ
U+FF7E ｾ
U+FF7F ｿ
U+FF80 ﾀ
U+FF81 ﾁ
U+FF82 ﾂ
U+FF83 ﾃ
U+FF84 ﾄ
U+FF85 ﾅ
U+FF86 ﾆ
U+FF87 ﾇ
U+FF88 ﾈ
U+FF89 ﾉ
U+FF8A ﾊ
U+FF8B ﾋ
U+FF8C ﾌ
U+FF8D ﾍ
U+FF8E ﾎ
U+FF8F ﾏ
U+FF90 ﾐ
U+FF91 ﾑ
U+FF92 ﾒ
U+FF93 ﾓ
U+FF94 ﾔ
U+FF95 ﾕ
U+FF96 ﾖ
U+FF97 ﾗ
U+FF98 ﾘ
U+FF99 ﾙ
U+FF9A ﾚ
U+FF9B ﾛ
U+FF9C ﾜ
U+FF9D ﾝ
U+FF9E ﾞ
U+FF9F ﾟ
